aX,aY,aZ,gX,gY,gZ
0.933,-0.237,-0.296,3.235,-0.610,-15.869
0.929,-0.256,-0.283,6.165,-1.953,-15.625
0.935,-0.266,-0.283,6.897,-2.747,-13.977

0.055,-0.724,-2.164,59.021,27.039,-45.410
-0.204,-0.996,-2.701,59.570,19.958,-54.199
-0.414,-1.261,-3.234,55.481,-0.732,-58.105
-0.615,-1.240,-3.624,56.946,-41.870,-57.922
-0.619,-1.194,-3.738,95.947,-95.825,-66.467
-0.455,-1.004,-3.502,163.147,-148.315,-78.613
-0.235,-0.997,-2.907,228.760,-208.496,-84.534
0.141,-1.114,-2.059,269.897,-291.016,-77.698
0.303,-0.958,-1.001,280.029,-379.395,-68.298
0.306,-0.831,0.336,275.574,-454.102,-67.688
0.209,-0.918,1.871,263.611,-508.606,-55.176
-0.656,-1.198,3.986,251.038,-505.127,-15.808
0.287,4.000,4.000,499.512,-366.638,-46.814
2.310,-4.000,3.780,1134.033,77.759,-318.054
-0.226,-3.062,-1.055,74.646,442.200,545.166
3.363,2.263,0.228,-490.356,156.189,247.986
1.474,1.627,2.267,-411.011,3.906,11.780
-0.865,-0.788,3.290,-148.621,62.744,65.308
0.448,0.318,1.972,-110.107,166.199,116.333
1.381,0.666,1.001,-92.834,207.397,93.689
0.825,0.472,0.659,-49.622,188.965,35.461
0.373,0.333,0.421,-58.472,177.551,-12.451
0.385,-0.061,-0.190,-89.722,197.998,-45.105
0.620,-0.338,-0.751,-114.807,209.961,-57.617
0.492,-0.496,-1.010,-107.788,197.693,-59.937
0.127,-0.734,-1.185,-85.815,184.509,-60.425
0.069,-0.880,-1.407,-75.623,178.101,-52.673
0.156,-1.112,-1.659,-93.384,166.565,-13.855
0.300,-0.935,-1.770,-129.883,142.944,20.691
0.163,-0.718,-1.766,-157.593,113.525,54.688
0.106,-0.473,-1.729,-154.114,85.510,50.537
0.113,-0.348,-1.655,-121.948,64.514,31.372
0.190,-0.391,-1.554,-78.125,49.988,16.602
0.319,-0.448,-1.426,-43.152,39.673,13.977
0.438,-0.493,-1.315,-25.269,27.283,17.456
0.522,-0.423,-1.219,-20.020,12.756,19.104
0.552,-0.307,-1.133,-18.250,-1.221,20.142
0.653,-0.244,-1.033,-12.634,-13.062,20.996
0.715,-0.237,-0.909,-4.150,-22.766,22.705
0.708,-0.249,-0.775,2.075,-28.503,25.146
0.674,-0.271,-0.655,1.526,-30.823,29.602
0.695,-0.267,-0.557,-5.798,-30.334,33.325
0.724,-0.227,-0.498,-15.991,-27.283,33.569
0.725,-0.177,-0.462,-24.780,-23.071,31.311
0.759,-0.129,-0.444,-30.212,-17.639,28.870
0.772,-0.077,-0.449,-30.823,-11.597,24.109
0.811,-0.057,-0.454,-28.198,-4.333,21.606
0.817,-0.036,-0.469,-24.719,1.221,17.639
0.845,-0.054,-0.474,-20.142,5.615,12.451
0.864,-0.097,-0.487,-16.174,8.301,7.935
0.852,-0.115,-0.492,-15.442,9.277,3.540
0.843,-0.124,-0.489,-14.954,9.399,-0.366
0.835,-0.154,-0.488,-13.367,9.155,-3.113
0.822,-0.184,-0.482,-11.597,8.850,-5.554
0.819,-0.228,-0.473,-10.193,9.521,-6.470
0.822,-0.274,-0.470,-9.277,10.742,-5.371
0.833,-0.292,-0.473,-9.644,11.963,-2.747
0.846,-0.285,-0.493,-11.169,12.573,0.488
0.853,-0.265,-0.506,-12.268,11.780,4.272
0.868,-0.249,-0.513,-12.085,10.132,7.385
0.883,-0.243,-0.510,-11.108,8.362,9.888
0.891,-0.235,-0.521,-10.498,5.798,11.719
0.881,-0.206,-0.523,-11.353,2.441,12.573
0.869,-0.188,-0.507,-11.108,-0.549,11.780
0.867,-0.189,-0.498,-9.094,-2.502,10.132
0.879,-0.180,-0.489,-8.301,-3.723,8.606
0.892,-0.173,-0.482,-7.812,-4.700,7.690
0.904,-0.169,-0.476,-7.324,-6.226,7.263
0.909,-0.176,-0.470,-7.019,-8.057,7.141
0.909,-0.190,-0.464,-7.385,-9.888,7.080
0.914,-0.186,-0.460,-9.033,-11.475,7.202
0.923,-0.184,-0.451,-10.620,-12.817,7.385
0.876,-0.194,-0.471,-11.047,-14.465,7.446
0.956,-0.198,-0.435,-13.062,-15.381,10.071
0.948,-0.183,-0.404,-13.672,-18.921,6.226
0.925,-0.161,-0.390,-11.414,-18.005,6.409
0.912,-0.179,-0.378,-8.728,-15.869,9.766
0.917,-0.178,-0.375,-7.324,-14.099,7.629
0.909,-0.164,-0.375,-6.348,-11.780,5.737
0.910,-0.176,-0.384,-4.883,-9.888,3.845
0.916,-0.184,-0.383,-3.906,-8.728,1.831
0.912,-0.184,-0.376,-3.296,-7.935,-0.305
0.910,-0.190,-0.367,-1.953,-7.080,-1.465
0.912,-0.216,-0.358,0.122,-6.165,-2.319
0.906,-0.230,-0.348,1.892,-5.249,-2.991
0.899,-0.239,-0.344,2.686,-4.517,-3.357
0.894,-0.244,-0.346,2.869,-3.540,-3.113
0.888,-0.241,-0.355,2.380,-2.136,-2.319
0.890,-0.236,-0.359,2.502,-1.099,-1.648
0.897,-0.235,-0.361,3.296,-0.366,-1.343
0.897,-0.230,-0.358,4.761,-0.122,-1.221
0.890,-0.233,-0.357,6.226,0.183,-1.343
0.886,-0.245,-0.355,7.324,0.305,-1.404
0.887,-0.247,-0.353,7.202,0.305,-1.343
0.888,-0.245,-0.352,6.409,-0.244,-1.221
0.887,-0.244,-0.354,5.798,-1.282,-0.916
0.883,-0.246,-0.351,5.615,-2.319,-0.244
0.880,-0.248,-0.347,5.371,-2.808,0.916
0.886,-0.245,-0.344,4.883,-2.808,1.770
0.891,-0.252,-0.339,4.333,-2.808,2.686
0.890,-0.253,-0.330,2.563,-2.869,3.540
0.888,-0.242,-0.325,0.183,-2.563,4.395
0.888,-0.230,-0.326,-2.075,-2.014,5.310
0.889,-0.212,-0.335,-3.296,-1.160,5.676
0.892,-0.201,-0.341,-3.113,-0.793,5.249
0.893,-0.192,-0.342,-1.587,-0.488,4.028
0.900,-0.193,-0.348,0.977,-0.366,1.892
0.906,-0.209,-0.348,3.601,-0.732,-0.183
0.902,-0.218,-0.348,5.127,-1.404,-1.465
0.899,-0.229,-0.339,5.554,-1.831,-1.892
0.905,-0.239,-0.331,5.066,-1.953,-1.587
0.914,-0.243,-0.325,3.357,-2.075,-0.793
0.911,-0.243,-0.322,1.282,-2.075,0.732
0.901,-0.231,-0.325,-0.305,-1.709,2.197
0.893,-0.226,-0.322,-1.587,-0.671,3.357
0.890,-0.217,-0.329,-2.502,1.160,4.089
0.891,-0.207,-0.342,-3.357,3.052,4.211
0.897,-0.201,-0.362,-3.174,4.700,4.028
0.911,-0.202,-0.374,-2.869,4.944,3.845

-0.339,-0.494,-2.176,84.290,57.129,-67.505
-0.131,-0.654,-2.330,97.107,24.536,-78.979
0.051,-0.612,-2.367,105.530,-15.259,-94.421
0.238,-0.624,-2.299,116.943,-67.932,-105.347
0.349,-0.757,-2.109,138.062,-134.521,-107.910
0.318,-0.821,-1.730,163.208,-208.191,-109.070
0.459,-0.824,-1.227,186.584,-282.288,-110.718
0.593,-0.885,-0.737,202.576,-354.736,-112.366
0.657,-0.988,-0.153,200.806,-418.701,-111.328
0.686,-1.039,0.433,173.340,-474.548,-105.530
0.531,-0.878,1.027,126.282,-518.127,-93.384
0.260,-0.724,1.907,89.294,-530.640,-77.026
-0.461,-1.664,3.540,69.580,-458.862,-49.500
-1.364,4.000,4.000,296.814,-286.560,-96.741
2.128,-4.000,1.378,656.677,169.067,-259.094
4.000,-4.000,0.685,416.931,285.278,106.201
3.125,-1.474,0.988,-38.147,93.262,206.787
0.381,0.088,1.690,-316.101,12.756,86.975
-0.573,0.303,2.055,-365.723,36.743,76.416
0.400,-0.431,1.663,-322.754,120.544,101.929
1.074,0.060,0.954,-272.339,187.622,121.826
1.049,0.951,0.549,-208.496,210.388,95.581
1.016,0.760,0.358,-109.619,208.923,37.537
0.870,0.148,0.156,-28.931,204.468,-11.597
0.728,-0.347,-0.023,-11.780,198.181,-45.471
0.581,-0.503,-0.270,-39.429,195.618,-62.927
