aX,aY,aZ,gX,gY,gZ
-1.456,-0.572,1.171,20.020,-53.650,-22.156
-1.546,-0.687,1.216,6.531,-53.955,-16.418
-1.627,-0.757,1.244,-10.620,-49.072,-10.620
-1.651,-0.720,1.243,-29.297,-40.710,-7.324
-1.652,-0.652,1.208,-44.495,-29.846,-5.554
-1.669,-0.528,1.150,-53.223,-15.747,-3.418
-1.656,-0.377,1.078,-52.612,0.183,1.282
-1.610,-0.243,1.008,-40.527,17.639,6.165
-1.557,-0.157,0.929,-18.250,34.119,13.916
-1.520,-0.102,0.857,10.376,48.584,22.522
-1.471,-0.123,0.811,41.199,61.096,30.945
-1.390,-0.248,0.799,65.674,70.984,39.734
-1.248,-0.361,0.801,73.364,75.867,49.377
-1.091,-0.396,0.793,61.584,76.721,54.199
-0.911,-0.371,0.777,37.048,74.097,49.927
-0.703,-0.297,0.741,7.019,68.481,40.527
-0.469,-0.145,0.703,-21.484,60.547,32.104
-0.221,0.038,0.727,-40.222,50.720,22.583
-0.008,0.205,0.766,-45.776,38.635,14.771
0.125,0.293,0.795,-38.818,26.733,12.085
0.207,0.360,0.876,-22.278,16.602,12.573
0.255,0.388,0.921,-0.305,8.179,14.099
0.411,0.326,0.937,22.034,2.563,17.090
0.483,0.223,0.964,41.626,-0.610,23.071
0.511,0.038,0.986,53.406,-0.549,25.818
0.501,-0.076,0.998,52.795,3.174,23.682
0.504,-0.154,0.992,42.114,10.681,17.639
0.539,-0.161,0.979,26.917,20.386,10.681
0.595,-0.081,0.997,12.573,29.297,-0.854
0.619,-0.052,1.004,2.869,34.424,8.911
0.628,0.007,1.014,-0.671,34.119,2.563
0.770,0.037,1.008,-0.916,31.616,-16.296
0.827,0.083,0.995,-0.122,27.466,-25.146
0.791,0.049,0.980,0.000,23.376,-29.419
0.730,0.030,0.967,-0.671,22.827,-34.851
0.688,0.048,0.955,-0.366,25.940,-39.673
0.639,0.016,0.952,2.930,30.884,-41.870
0.570,-0.030,0.951,6.958,36.499,-41.870
0.548,-0.078,0.946,10.376,41.321,-41.504
0.557,-0.139,0.927,12.451,44.922,-42.175
0.578,-0.199,0.910,12.207,46.204,-41.138
0.573,-0.234,0.899,8.667,44.983,-38.879
0.526,-0.235,0.888,3.113,41.626,-35.950
0.484,-0.214,0.881,-1.831,37.292,-33.203
0.451,-0.173,0.881,-3.906,32.898,-29.968
0.405,-0.155,0.886,-2.747,29.053,-26.245
0.362,-0.138,0.896,0.732,26.489,-21.484
0.335,-0.093,0.895,5.920,26.306,-15.442
0.321,-0.081,0.899,14.038,28.137,-10.681
0.330,-0.098,0.910,24.719,30.640,-11.841
0.354,-0.176,0.926,33.325,31.616,-8.301
0.326,-0.265,0.949,35.278,30.701,-4.944
0.310,-0.297,0.971,29.602,27.466,-4.761
0.310,-0.272,0.989,20.203,22.705,-5.127
0.288,-0.240,1.000,11.475,16.907,-5.371
0.261,-0.222,1.004,5.371,11.536,-5.615
0.250,-0.210,1.002,1.831,7.629,-6.470
0.244,-0.203,1.000,0.305,5.493,-7.324
0.238,-0.189,0.995,-0.244,5.005,-6.836
0.234,-0.190,0.993,1.038,5.798,-6.653
0.240,-0.224,0.993,3.723,6.836,-6.348
0.246,-0.260,0.989,4.761,7.080,-5.676
0.247,-0.270,0.980,4.395,6.348,-5.127
0.245,-0.275,0.969,3.479,4.944,-4.822
0.234,-0.293,0.960,2.075,3.784,-3.845
0.227,-0.303,0.957,-0.427,2.930,-2.136
0.217,-0.303,0.957,-4.028,2.258,-1.099
0.203,-0.273,0.957,-7.568,0.916,0.366
0.187,-0.245,0.958,-9.644,-0.610,1.099
0.180,-0.222,0.962,-10.498,-2.014,1.282
0.177,-0.201,0.962,-10.254,-3.235,2.502
0.164,-0.170,0.966,-9.338,-4.150,4.395
0.147,-0.156,0.968,-6.897,-4.517,6.470
0.137,-0.168,0.971,-3.235,-4.822,8.118
0.129,-0.207,0.974,-0.427,-4.517,9.399
0.120,-0.235,0.977,-0.244,-3.967,10.071
0.114,-0.237,0.975,-2.380,-3.479,9.827
0.113,-0.227,0.977,-5.310,-2.808,8.972
0.107,-0.212,0.985,-8.179,-2.136,7.874
0.107,-0.193,0.990,-10.498,-1.526,6.714
0.099,-0.174,0.993,-11.963,-0.977,5.737
0.087,-0.158,0.995,-12.207,0.244,5.188
0.092,-0.156,0.986,-10.742,2.258,5.493
0.098,-0.147,0.981,-8.301,5.493,6.531
0.110,-0.145,0.972,-5.005,9.094,7.324
0.120,-0.151,0.965,-1.465,11.841,8.057
0.121,-0.161,0.965,1.038,13.184,8.240
0.127,-0.176,0.966,2.502,13.245,7.690
0.137,-0.182,0.965,2.625,12.024,6.653
0.142,-0.179,0.964,2.258,9.644,5.249
0.136,-0.173,0.964,1.953,6.836,3.845
0.133,-0.168,0.962,2.502,4.395,3.052
0.139,-0.162,0.958,3.540,2.686,2.808
0.138,-0.150,0.957,5.066,1.953,3.296
0.136,-0.149,0.957,7.080,1.770,3.967
0.136,-0.171,0.958,9.399,2.197,4.272
0.142,-0.187,0.961,10.376,2.747,3.845
0.152,-0.193,0.965,9.705,3.174,3.113
0.157,-0.193,0.966,8.240,2.686,2.136
0.156,-0.192,0.966,6.348,2.075,1.648
0.158,-0.189,0.967,4.822,1.709,1.343
0.163,-0.177,0.967,3.784,1.648,0.793
0.164,-0.172,0.969,3.235,1.526,0.366
0.158,-0.186,0.974,3.235,1.404,0.610
0.149,-0.201,0.979,2.747,1.160,1.038
0.149,-0.199,0.983,1.343,0.732,1.038
0.147,-0.184,0.982,-0.183,0.305,0.916
0.145,-0.164,0.982,-0.366,0.305,0.977
0.146,-0.154,0.982,0.977,0.305,0.488
0.155,-0.162,0.982,2.930,0.854,0.000
0.159,-0.171,0.986,4.028,1.282,0.122
0.159,-0.176,0.989,4.150,1.587,0.244
0.156,-0.174,0.989,3.906,1.709,-0.244
0.157,-0.179,0.988,3.235,1.831,-0.793
0.155,-0.194,0.986,2.563,2.197,-0.977
0.148,-0.201,0.984,1.038,2.380,-1.160
0.146,-0.197,0.982,-0.916,2.258,-1.648

-1.358,-0.479,1.149,116.699,-50.720,-65.613
-1.349,-0.831,1.259,110.107,-59.753,-48.279
-1.289,-0.984,1.346,85.754,-68.420,-40.894
-1.276,-1.030,1.388,51.575,-74.463,-37.231
-1.299,-1.004,1.383,16.602,-75.439,-26.489
-1.359,-0.976,1.362,-11.108,-69.031,-10.376
-1.372,-0.877,1.330,-30.457,-56.030,1.465
-1.354,-0.672,1.290,-41.321,-38.696,13.733
-1.336,-0.465,1.261,-40.344,-20.203,26.489
-1.326,-0.320,1.252,-28.870,-3.174,35.767
-1.280,-0.216,1.250,-14.221,11.108,41.687
-1.251,-0.132,1.249,-1.648,21.301,45.593
-1.214,-0.098,1.243,7.263,27.466,48.950
-1.158,-0.058,1.216,11.108,30.823,49.866
-1.054,-0.006,1.176,10.986,32.654,47.607
-0.939,0.035,1.114,10.742,31.921,44.006
-0.828,0.074,1.034,13.489,30.090,41.687
-0.696,0.054,0.971,21.301,29.541,39.795
-0.554,0.023,0.942,30.762,29.785,39.001
-0.406,0.005,0.925,37.842,30.762,39.001
-0.294,-0.020,0.912,41.870,31.433,40.466
-0.224,-0.052,0.912,43.091,31.921,42.480
-0.185,-0.082,0.915,41.870,31.372,43.152
-0.135,-0.106,0.895,39.612,30.396,41.504
-0.022,-0.086,0.875,36.255,30.334,37.415
0.066,-0.028,0.872,33.936,29.602,31.067
0.144,0.010,0.886,34.973,26.978,23.682
0.239,0.005,0.897,37.415,22.217,17.273
0.318,-0.018,0.910,37.781,15.137,11.902
0.363,-0.049,0.911,35.217,7.202,9.094
0.383,-0.035,0.911,29.297,-0.122,7.874
0.388,0.002,0.919,22.644,-5.737,6.409
0.372,0.034,0.925,18.005,-8.362,3.479
0.362,0.035,0.926,15.869,-6.531,-1.221
0.376,-0.011,0.930,13.123,-1.709,-6.042
0.424,-0.044,0.929,7.751,4.883,-10.132
0.470,-0.010,0.912,1.465,11.902,-13.550
0.499,0.009,0.898,-2.197,19.043,-17.822
0.525,0.003,0.899,-2.930,25.696,-22.278
0.548,0.029,0.893,-2.502,30.823,-26.123
0.538,0.015,0.893,0.000,34.973,-31.799
0.542,-0.047,0.891,2.502,39.429,-35.828
0.568,-0.094,0.887,0.671,44.495,-36.926
0.590,-0.086,0.878,-4.150,49.316,-39.246
0.568,-0.071,0.871,-8.667,52.429,-37.476
0.542,-0.065,0.870,-10.498,54.260,-34.973
0.547,-0.049,0.882,-9.460,55.176,-34.302
0.585,-0.054,0.893,-5.981,54.443,-35.278
0.604,-0.072,0.906,-1.526,51.575,-35.461
0.601,-0.124,0.919,3.113,47.607,-34.119
0.564,-0.176,0.935,5.554,43.457,-31.372
0.510,-0.233,0.945,5.493,40.039,-28.564
0.464,-0.254,0.952,3.418,37.903,-26.306
0.424,-0.245,0.956,0.366,37.170,-24.902
0.390,-0.253,0.969,-1.648,37.231,-23.743
0.362,-0.275,0.982,-4.150,37.231,-21.912
0.346,-0.268,0.985,-7.751,37.598,-20.569
0.339,-0.219,0.981,-10.925,37.659,-21.301
0.347,-0.179,0.975,-11.353,37.598,-23.071
0.355,-0.143,0.975,-9.094,37.109,-23.315
0.376,-0.106,0.972,-4.578,34.729,-22.461
0.370,-0.097,0.972,1.099,30.579,-19.409
0.350,-0.126,0.967,7.751,25.208,-14.709
0.330,-0.155,0.968,13.672,18.921,-15.747
0.317,-0.215,0.969,16.907,12.695,-11.292
0.275,-0.257,0.968,16.418,7.874,-6.226
0.249,-0.254,0.967,13.184,4.517,-3.662
0.228,-0.257,0.973,10.193,3.540,-3.662
0.227,-0.243,0.979,7.446,4.150,-3.113
0.217,-0.234,0.985,5.066,5.798,1.038
0.214,-0.218,0.988,4.333,7.385,2.869
0.224,-0.209,0.987,4.761,8.545,4.028
0.235,-0.212,0.980,5.432,8.728,5.127
0.242,-0.217,0.974,5.859,8.240,5.432
0.239,-0.219,0.971,5.371,6.958,5.371
0.237,-0.226,0.973,4.028,5.127,5.554
0.221,-0.228,0.982,2.380,2.930,5.737
0.204,-0.221,0.989,0.549,1.221,5.493
0.192,-0.202,0.992,-0.671,0.488,5.005
0.183,-0.189,0.996,-1.038,0.916,4.395
0.182,-0.193,0.996,-0.610,1.709,4.150
0.182,-0.180,0.992,-0.183,3.052,3.662
0.191,-0.189,0.986,0.305,3.967,2.747
0.190,-0.201,0.981,0.427,4.395,2.441
0.192,-0.211,0.972,-0.183,4.578,2.747
0.198,-0.218,0.969,-1.221,4.639,2.319
0.202,-0.224,0.968,-2.502,4.517,1.831
0.203,-0.214,0.967,-4.456,4.089,1.587
0.204,-0.195,0.963,-5.310,3.418,1.038
0.208,-0.182,0.960,-4.761,2.441,0.916
0.203,-0.172,0.955,-3.418,1.831,1.648
0.200,-0.174,0.955,-1.526,1.587,1.953
0.202,-0.191,0.956,0.305,1.587,1.770
0.202,-0.194,0.963,0.854,1.770,1.953
0.204,-0.189,0.967,0.366,1.831,2.258
0.204,-0.185,0.969,0.183,1.648,2.197
0.196,-0.187,0.969,-0.061,1.343,1.343
0.191,-0.191,0.969,-0.305,0.916,0.366
0.194,-0.196,0.962,-1.038,0.732,-0.732
0.196,-0.191,0.958,-1.709,0.671,-1.221
0.196,-0.183,0.954,-2.441,0.610,-1.526
0.196,-0.168,0.951,-2.197,0.977,-1.770
0.201,-0.159,0.950,-1.465,1.160,-2.075
0.200,-0.155,0.950,-0.061,1.160,-2.380
0.202,-0.169,0.951,1.221,1.038,-2.869
0.208,-0.177,0.950,1.404,0.854,-2.869
0.211,-0.175,0.945,0.793,0.366,-2.747
0.209,-0.174,0.942,0.183,0.000,-2.563
0.205,-0.173,0.938,0.122,-0.610,-2.258
0.199,-0.182,0.940,0.610,-1.038,-2.380
0.197,-0.191,0.943,0.671,-1.465,-2.502
0.195,-0.191,0.942,0.183,-1.221,-2.380
0.193,-0.186,0.942,-0.488,-0.916,-2.319
0.192,-0.180,0.943,-0.366,-0.610,-2.502
0.196,-0.181,0.943,0.183,-0.183,-2.869
0.193,-0.184,0.946,0.671,-0.183,-3.601
0.194,-0.198,0.949,0.854,-0.366,-4.028
0.194,-0.205,0.952,0.305,-0.610,-4.089
0.188,-0.199,0.956,-0.488,-1.221,-3.967

-1.613,-0.313,1.236,18.372,-30.334,-13.000
-1.630,-0.453,1.373,19.775,-50.781,-13.855
-1.692,-0.520,1.452,16.418,-72.998,-19.897
-1.745,-0.663,1.471,9.338,-89.661,-29.419
-1.729,-0.537,1.431,-1.770,-93.750,-37.903
-1.760,-0.505,1.335,-11.658,-81.604,-18.616
-1.770,-0.415,1.219,-14.954,-57.129,3.601
-1.743,-0.286,1.106,-9.094,-25.818,17.578
-1.569,-0.045,1.011,7.324,6.531,20.691
-1.416,0.125,0.936,33.081,33.447,29.358
-1.307,0.148,0.886,65.125,52.795,39.856
-1.191,0.076,0.848,92.590,63.660,47.607
-1.073,-0.049,0.829,107.666,67.505,51.575
-0.985,-0.140,0.824,107.666,66.345,53.162
-0.914,-0.238,0.819,94.666,61.890,55.115
-0.861,-0.323,0.830,72.266,55.359,52.795
-0.767,-0.330,0.850,44.739,47.485,46.082
-0.613,-0.261,0.867,16.907,38.513,37.231
-0.500,-0.152,0.874,-4.272,28.381,30.884
-0.430,-0.082,0.873,-15.747,20.874,28.992
-0.366,-0.073,0.869,-17.944,18.005,29.053
-0.341,-0.127,0.869,-13.977,19.470,28.748
-0.309,-0.219,0.854,-7.935,23.987,27.649
-0.220,-0.279,0.831,-4.395,31.189,26.001
