aX,aY,aZ,gX,gY,gZ
0.068,-0.081,-1.053,4.761,-1.221,4.395
0.073,-0.092,-1.047,4.700,-2.869,2.808

-0.286,-0.340,-1.996,16.357,-51.270,-3.662
-0.321,-0.303,-2.053,8.118,-78.796,0.977
-0.393,-0.237,-2.110,4.700,-106.628,6.653
-0.429,-0.204,-2.132,6.836,-131.592,10.071
-0.416,-0.203,-2.120,10.742,-154.785,13.855
-0.444,-0.215,-2.100,11.047,-177.185,18.494
-0.473,-0.217,-2.061,6.531,-197.571,22.888
-0.429,-0.220,-1.991,-1.648,-215.820,26.733
-0.348,-0.206,-1.889,-12.878,-234.619,30.579
-0.236,-0.170,-1.751,-24.109,-255.310,34.363
-0.159,-0.126,-1.618,-33.325,-278.625,37.292
-0.184,-0.078,-1.513,-37.964,-300.354,38.391
-0.204,-0.059,-1.370,-35.522,-316.406,35.889
-0.145,-0.091,-1.189,-30.579,-326.721,32.898
-0.057,-0.102,-0.998,-28.503,-334.534,32.227
0.003,-0.084,-0.804,-29.724,-341.797,34.912
0.031,-0.055,-0.635,-30.090,-349.670,37.598
0.034,-0.013,-0.497,-25.452,-354.370,38.574
0.003,0.003,-0.399,-17.212,-353.394,39.551
-0.051,0.042,-0.279,-6.165,-347.351,40.466
-0.070,0.069,-0.199,7.446,-335.632,37.170
-0.052,0.069,-0.125,20.264,-318.726,37.476
-0.007,0.081,-0.033,30.884,-300.903,40.222
0.010,0.081,0.033,38.635,-285.095,41.565
0.017,0.032,0.122,45.959,-269.409,37.292
0.090,-0.064,0.263,53.589,-253.601,26.123
0.214,-0.179,0.386,55.359,-238.770,13.062
0.316,-0.238,0.495,49.011,-227.295,1.953
0.393,-0.249,0.579,39.856,-219.971,-3.113
0.449,-0.231,0.651,31.189,-215.210,-4.089
0.507,-0.218,0.737,23.315,-212.402,-1.099
0.556,-0.170,0.811,17.273,-209.961,6.104
0.572,-0.118,0.864,12.817,-203.491,16.541
0.586,-0.064,0.927,10.315,-191.406,26.672
0.632,-0.081,0.995,9.460,-173.645,34.302
0.672,-0.103,1.048,8.362,-153.015,37.964
0.692,-0.072,1.096,4.883,-131.592,37.537
0.713,-0.009,1.138,-0.122,-108.704,34.607
0.744,0.035,1.169,-3.784,-83.496,30.029
0.790,0.094,1.174,-7.568,-57.068,25.024
0.820,0.151,1.162,-11.047,-30.762,20.142
0.864,0.175,1.153,-13.489,-5.493,15.869
0.909,0.172,1.132,-15.503,17.639,11.780
0.926,0.185,1.084,-18.921,39.612,6.775
0.926,0.206,1.019,-23.499,60.730,2.319
0.923,0.205,0.944,-27.771,81.238,-0.244
0.911,0.234,0.854,-30.945,101.135,-2.625
0.896,0.273,0.764,-31.067,120.300,-6.226
0.888,0.280,0.692,-27.527,137.817,-9.338
0.870,0.254,0.624,-21.912,154.419,-11.719
0.837,0.226,0.557,-15.991,170.349,-14.465
0.808,0.174,0.491,-11.353,186.096,-16.968
0.778,0.134,0.424,-9.583,200.317,-18.127
0.745,0.108,0.358,-10.376,212.585,-19.043
0.735,0.105,0.295,-13.123,222.595,-20.142
0.717,0.086,0.237,-15.747,230.408,-20.325
0.682,0.059,0.182,-18.616,235.046,-19.409
0.660,0.035,0.130,-21.790,237.854,-18.738
0.558,0.013,0.060,-25.635,237.671,-23.010
0.620,0.099,-0.007,-27.710,235.474,-26.001
0.526,0.125,-0.070,-23.865,233.276,-26.917
0.426,0.127,-0.115,-14.526,230.103,-31.189
0.382,0.050,-0.142,-3.357,227.478,-36.499
0.349,-0.077,-0.159,4.761,225.830,-42.114
0.323,-0.123,-0.204,5.127,223.450,-45.837
0.228,-0.101,-0.302,0.427,219.604,-46.204
0.116,-0.057,-0.422,-2.869,217.896,-46.692
0.033,0.026,-0.567,-0.488,220.398,-47.302
-0.035,0.043,-0.694,9.888,228.027,-48.279
-0.044,-0.107,-0.763,24.109,238.098,-47.668
-0.014,-0.272,-0.819,30.518,247.009,-42.603
-0.033,-0.295,-0.911,23.315,251.709,-33.447
-0.071,-0.263,-0.987,11.108,252.747,-24.719
-0.100,-0.205,-1.073,0.793,250.916,-15.808
-0.207,-0.081,-1.238,-2.441,248.169,-9.888
-0.320,-0.060,-1.391,5.554,247.681,-8.850
-0.316,-0.188,-1.479,18.738,248.413,-7.568
-0.242,-0.330,-1.492,23.132,244.873,-3.235
-0.152,-0.383,-1.488,13.550,232.666,2.686
